 ,X,GFP,FM4,i,Fac_0,Fac_1
1,-4.858,0.015,0.006,0,pinc16,15
2,-4.678,0.019,0.006,0,pinc16,15
3,-4.498,0.023,0.005,0,pinc16,15
4,-4.318,0.022,0.005,0,pinc16,15
5,-4.138,0.020,0.005,0,pinc16,15
6,-3.958,0.020,0.006,0,pinc16,15
7,-3.778,0.019,0.007,0,pinc16,15
8,-3.599,0.019,0.008,0,pinc16,15
9,-3.419,0.020,0.008,0,pinc16,15
10,-3.239,0.021,0.009,0,pinc16,15
11,-3.059,0.022,0.010,0,pinc16,15
12,-2.879,0.023,0.013,0,pinc16,15
13,-2.699,0.023,0.015,0,pinc16,15
14,-2.519,0.025,0.017,0,pinc16,15
15,-2.339,0.030,0.020,0,pinc16,15
16,-2.159,0.037,0.024,0,pinc16,15
17,-1.979,0.043,0.028,0,pinc16,15
18,-1.799,0.050,0.032,0,pinc16,15
19,-1.619,0.060,0.038,0,pinc16,15
20,-1.439,0.070,0.044,0,pinc16,15
21,-1.259,0.088,0.058,0,pinc16,15
22,-1.080,0.124,0.090,0,pinc16,15
23,-0.900,0.194,0.158,0,pinc16,15
24,-0.720,0.322,0.288,0,pinc16,15
25,-0.540,0.507,0.486,0,pinc16,15
26,-0.360,0.719,0.724,0,pinc16,15
27,-0.180,0.900,0.925,0,pinc16,15
28,0.000,0.994,1.000,0,pinc16,15
29,0.180,1.005,0.931,0,pinc16,15
30,0.360,0.963,0.767,0,pinc16,15
31,0.540,0.966,0.585,0,pinc16,15
32,0.720,1.032,0.445,0,pinc16,15
33,0.900,1.052,0.348,0,pinc16,15
34,1.080,0.988,0.271,0,pinc16,15
35,1.259,0.899,0.209,0,pinc16,15
36,1.439,0.759,0.166,0,pinc16,15
37,1.619,0.572,0.138,0,pinc16,15
38,1.799,0.413,0.112,0,pinc16,15
39,1.979,0.315,0.087,0,pinc16,15
40,2.159,0.267,0.067,0,pinc16,15
41,2.339,0.242,0.052,0,pinc16,15
42,2.519,0.221,0.040,0,pinc16,15
43,2.699,0.197,0.034,0,pinc16,15
44,2.879,0.176,0.030,0,pinc16,15
45,3.059,0.161,0.024,0,pinc16,15
46,3.239,0.148,0.021,0,pinc16,15
47,3.419,0.141,0.020,0,pinc16,15
48,3.599,0.138,0.019,0,pinc16,15
49,3.778,0.133,0.017,0,pinc16,15
50,3.958,0.123,0.014,0,pinc16,15
51,4.138,0.117,0.013,0,pinc16,15
52,4.318,0.122,0.011,0,pinc16,15
53,4.498,0.127,0.010,0,pinc16,15
54,4.678,0.127,0.010,0,pinc16,15
55,4.858,0.127,0.010,0,pinc16,15
56,5.038,0.130,0.010,0,pinc16,15
57,5.218,0.136,0.009,0,pinc16,15
58,5.398,0.139,0.008,0,pinc16,15
59,5.578,0.133,0.008,0,pinc16,15
60,5.758,0.120,0.008,0,pinc16,15
61,5.938,0.108,0.008,0,pinc16,15
62,6.117,0.109,0.007,0,pinc16,15
63,6.297,0.120,0.006,0,pinc16,15
64,-4.436,0.010,0.007,1,pinc16,15
65,-4.259,0.011,0.007,1,pinc16,15
66,-4.081,0.009,0.008,1,pinc16,15
67,-3.904,0.008,0.009,1,pinc16,15
68,-3.726,0.007,0.011,1,pinc16,15
69,-3.549,0.006,0.012,1,pinc16,15
