 ,var1,var2,var3,PM.aff
6,5,pinc16,15,0.331361326927627
7,6,pinc16,15,0.291796387207289
8,7,pinc16,15,0.178273840736841
9,8,pinc16,15,0.335393189067196
10,9,pinc16,15,0.36180598857643
11,10,pinc16,15,0.150032713382771
12,11,pinc16,15,0.31344214268416
15,14,pinc16,15,0.210777939215325
16,15,pinc16,15,0.307159355328969
17,16,pinc16,15,0.0040326037521033
18,17,pinc16,15,0.170546380761123
19,18,pinc16,15,0.268820536022754
20,19,pinc16,15,0.325111038393088
21,20,pinc16,15,0.268320832645577
22,21,pinc16,15,0.16999560168537
24,23,pinc16,15,0.37246566168925
28,27,pinc16,15,0.118184424979697
29,28,pinc16,15,0.232797475471682
30,29,pinc16,15,0.141327210762403
31,30,pinc16,11,0.494180100592804
32,31,pinc16,11,0.171895780858056
33,32,pinc16,11,0.0207504706048181
34,33,pinc16,11,0.273756216064087
35,34,pinc16,11,0.221609742014758
36,35,pinc16,11,0.0195519170329626
37,36,pinc16,11,0.103741052648664
38,37,pinc16,11,0.195896262506148
39,38,pinc16,11,0.326316010973334
40,39,pinc16,11,0.5060542614867
41,40,pinc16,11,0.416844886756403
43,42,pinc16,11,0.336230029388861
44,43,pinc16,11,0.45450589309945
45,44,pinc16,11,0.546521121391612
46,45,pinc16,11,0.502988282152838
48,47,pinc16,11,0.112650410757852
49,48,pinc16,11,0.440325135682438
50,49,pinc16,11,0.123348902882011
51,50,pinc16,11,0.203041863786005
54,53,pinc16,11,-0.00537867445623012
55,54,pinc16,11,0.384253247849715
56,55,pinc16,11,0.260108899296732
57,56,pinc16,11,0.357529933980283
58,57,pinc16,11,-0.0496574013205555
59,58,pinc16,9,0.3672591179939
60,59,pinc16,9,0.629439148947916
62,61,pinc16,9,0.601620084951936
63,62,pinc16,9,0.122430768854602
64,63,pinc16,9,0.0695379336478878
65,64,pinc16,9,0.222061808175529
67,66,pinc16,9,0.222836566926988
71,70,pinc16,9,0.565671833271513
72,71,pinc16,9,0.284952525243657
73,72,pinc16,9,0.412851200124088
74,73,pinc16,9,0.393277775928142
75,74,pinc16,9,0.348474028356201
76,75,pinc16,9,0.546318998584131
77,76,pinc16,9,0.197074812410196
78,77,pinc16,9,0.151317064042012
79,78,pinc16,9,0.0579374990981199
81,80,pina7,20,0.54410666633287
82,81,pina7,20,2.51708501479944
83,82,pina7,20,0.999262864891197
84,83,pina7,20,2.5068366434854
87,86,pina7,20,2.06021691674345
88,87,pina7,20,2.49907413177844
90,89,pina7,20,1.14897295444216
91,90,pina7,20,1.31634523987558
92,91,pina7,20,1.99272961547651
93,92,pina7,20,1.70163096287858
94,93,pina7,20,2.35838191662664
95,94,pina7,20,1.49185398624464
96,95,pina7,18,0.989392367767243
105,104,pina7,18,0.421864309247803
106,105,pina7,18,0.875482154315976
107,106,pina7,18,1.42810736410167
109,108,pina7,18,1.96525541433002
110,109,pina7,18,1.6710643972429
111,110,pina7,18,1.36863042059184
114,113,pina7,17,0.95638936431575
115,114,pina7,17,0.667503779830406
117,116,pina7,17,0.751908650280369
118,117,pina7,17,0.823220002859991
119,118,pina7,17,0.706443907870269
120,119,pina7,17,0.977735881717538
122,121,pina7,17,0.202762089693001
127,126,pina7,17,0.743963649384773
133,132,pina7,17,0.999144130780743
134,133,pina7,17,0.748828010864901
135,134,pina7,17,0.354101463752816
